New Records,fmt/275,Microsoft Access Database 2007: Outline entry added
Signatures,fmt/120,DROID File Collection File Format: Signature improved through DROID 5.0 research
Signatures,fmt/121,DROID Signature File Format: Signature improved through DROID 5.0 research
Signatures,fmt/134,MPEG 1/2 Audio Layer 3: Signature developed through DROID 5.0 research
Signatures,fmt/275,Microsoft Access Database 2007: Signature developed through DROID 5.0 research
Signatures,x-fmt/66,Microsoft Access Database 2.0: Signature developed through DROID 5.0 research
Signatures,x-fmt/92,Adobe Photoshop: Signature developed through DROID 5.0 research
Signatures,x-fmt/238,Microsoft Access Database 95: Signature developed through DROID 5.0 research
Signatures,x-fmt/239,Microsoft Access Database 97: Signature developed through DROID 5.0 research
Signatures,x-fmt/240,Microsoft Access Database 2000: Signature developed through DROID 5.0 research
Signatures,x-fmt/241,Microsoft Access Database 2002: Signature developed through DROID 5.0 research
Signatures,x-fmt/263,ZIP Format: Signature improved through DROID 5.0 research
Signatures,x-fmt/265,Tape Archive Format: Signature developed through DROID 5.0 research
