New Records,fmt/394,DS_store file (MAC): Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/395,vCard: Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/396,PocketMobi (Palm Resource) File: Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/397,Enigma Binary File (Finale): Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/398,Enigma Transportable File (Finale): Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/399,Stuffit Archive File: Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/400,FreeHand MX 11: Submission from National Library of New Zealand. Outline entry added.
New Records,fmt/401,"X-Windows Screen Dump X11: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/402,"Truevision TGA Bitmap 2: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/403,"SuperCalc Spreadsheet 1: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/404,"Real Audio 4: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/405,"Portable Any Map: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/406,"Portable Grey Map - Binary: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/407,"Portable Grey Map - ASCII: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/408,"Portable Pixel Map - Binary: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/409,"Portable Bitmap Image - Binary: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/410,"Internet Archive 1.1: Submission from Georgia Tech Research Institute, USA. Outline entry added."
New Records,fmt/411,"RAR Archive 2.9: Submission from Georgia Tech Research Institute, USA. Outline entry added."
Updated Records,fmt/14,Acrobat PDF 1.0 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/15,Acrobat PDF 1.1 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/16,Acrobat PDF 1.2 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/17,Acrobat PDF 1.3 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/18,Acrobat PDF 1.4 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/19,Acrobat PDF 1.5 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/20,Acrobat PDF 1.6 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,fmt/160,TeX/LaTeX Device Independent Document: Format name changed for greater accuracy and consistency.
Updated Records,fmt/276,Acrobat PDF 1.7 - Portable Document Format: Signature refined through PRONOM Research.
Updated Records,x-fmt/106,Microsoft Symbolic Link (SYLK) File: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/108,STL (Standard Tessellation Language) ASCII: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/119,Windows Metafile Image: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/139,NeXT/Sun sound: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/140,Silicon Graphics Image: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/146,Scitex Continuous Tone Bitmap: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/164,Portable Bit Map Image - ASCII: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/186,"Silicon Graphics RGB File: Deprecated as information provided by Georgia Tech Research Institute, USA revealed this is the same format as x-fmt/140."
Updated Records,x-fmt/190,"RealMedia: Format name changed for greater accuracy and consistency. Existing signature refined by information provided by Georgia Tech Research Institute, USA."
Updated Records,x-fmt/194,"IRIS Graphics: Deprecated as information provided by Georgia Tech Research Institute, USA revealed this is the same format as x-fmt/140."
Updated Records,x-fmt/196,"NeXt Sound: Deprecated as information provided by Georgia Tech Research Institute, USA revealed this is the same format as x-fmt/139."
Updated Records,x-fmt/207,X-Windows Bitmap Image X11: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/208,X-Windows Pixmap Image X10: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/219,"Internet Archive 1.0: Format name changed for greater accuracy and consistency. Existing signature refined by information provided by Georgia Tech Research Institute, USA."
Updated Records,x-fmt/264,RAR Archive 2.0: Format name changed for greater accuracy and consistency and version information added.
Updated Records,x-fmt/274,"Microsoft Word for DOS 4.0: existing Signature refined by submission from Georgia Tech Research Institute, USA."
Updated Records,x-fmt/275,"Microsoft Word for DOS 5.0: existing Signature refined by submission from Georgia Tech Research Institute, USA."
Updated Records,x-fmt/276,"Microsoft Word for DOS 5.5: existing Signature refined by submission from Georgia Tech Research Institute, USA."
Updated Records,x-fmt/278,RealAudio 3: Version information added.
Updated Records,x-fmt/299,X-Windows Bitmap Image X10: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/300,X-Windows Screen Dump File X10: Format name changed for greater accuracy and consistency.
Updated Records,x-fmt/358,"Silicon Graphics Graphics File: Deprecated as information provided by Georgia Tech Research Institute, USA revealed this is the same format as x-fmt/140."
Updated Records,x-fmt/367,Truevision TGA Bitmap 1: Format name changed for greater accuracy and consistency.
Signatures,fmt/141,"Waveform Audio (PCMWAVEFORMAT): Signature submitted by Georgia Tech Research Institute, USA."
Signatures,fmt/142,"Waveform Audio (WAVEFORMATEX): Signature submitted by Georgia Tech Research Institute, USA."
